,name,street_address,city,state,zip,latitude,longitude
0,Hi-Way Lanes,400 N. Morton,Franklin,IN,46131,39.83722,-84.8952
1,Richmond 40 Bowl,75 S 37th St,Richmond,IN,47374,39.8252,-84.85065
2,Southern Lanes,7634 Alexandria Pike,Alexandria,KY,41001,38.97744,-84.39221
3,Strike & Spare Erlanger,510 Commonwealth Ave,Erlanger,KY,41018,39.02066,-84.60484
4,La Ru Bowling Lanes,2443 Alexandria Pike,Highland Heights,KY,41076,39.03854,-84.45038
5,Luray Lanes,647 E Main St,Ashland,OH,44805,39.92387,-83.7996
6,Spevock's Nautical Lanes,184 Miller Road,Avon Lake,OH,44012,39.45768,-84.20912
7,Batavia Bowl,1991 James E. Sauls Drive,Batavia,OH,45103,39.07331,-84.1134
8,Al-Mar Lanes,1010 North Main Street,Bowling Green,OH,43402,39.7738,-84.19848
9,Poelking Lanes South (Dayton Mall),8871 Kingsridge,Centerville,OH,45458,39.63059,-84.21759
10,Crossgate Lanes,4230 Hunt Road,Cincinnati,OH,45242,39.22706,-84.39351
11,Eastgate Lanes,1362 OH-28,Loveland,OH,45140,39.66863,-84.16147
12,Stones Lanes,3746 Montgomery Road #2,Cincinnati,OH,45212,39.14765,-84.4663
13,Strike & Spare Western Bowl,6383 Glenway Ave.,Cincinnati,OH,45211,39.12799,-84.60572
14,Poelking Lanes - Dayton,1403 Wilmington Ave,Dayton,OH,45420,39.72844,-84.15566
15,Gilmore Lanes,5595 Dixie Highway,Fairfield,OH,45014,39.33176,-84.52038
16,Northwest Lanes,1765 Happy Valley Dr.,Fairfield,OH,45014,39.31472,-84.55989
17,Poelking-Woodman Lanes,3200 Woodman Dr.,Kettering,OH,45420,39.69807,-84.1236
18,Scene 75-Cincinnati,876 State Route 28,Milford,OH,45150,39.19022,-84.25687
19,Community Lanes,356 E. Third Street,Minster,OH,45380,39.68352,-83.92273
20,Break Point Entertainment,8433 N County Road 25A,Piqua,OH,45356,40.1613,-84.23701
21,Northridge Lanes,1333 Moorefield,Springfield,OH,45503,39.99559,-83.77618
22,Victory Lanes,1906 Commerce Circle,Springfield,OH,45504,39.93731,-83.84328
